,headline,url,date,author,summary
26,UPDATE 1-UK watchdog to review how companies report on climate change,https://www.cnbc.com/2020/02/20/reuters-america-update-1-uk-watchdog-to-review-how-companies-report-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/20/2020 4:25:00 AM ET,Kevin Stankiewicz,* FRC to launch ‘major review’ of climate reporting* To assess scale of resources devoted to topic by auditors* Will evaluate quality of risk disclosures ...
27,Coronavirus: WHO says changing climates and crowded cities drive disease outbreaks,https://www.cnbc.com/2020/04/15/coronavirus-who-says-changing-climates-and-crowded-cities-drive-disease-outbreaks.html?&qsearchterm=CLIMATE CHANGE,4/15/2020 5:51:03 PM ET,Berkeley Lovelace Jr.,"There is “no question” that changes in temperature, rainfall and humidity are driving infectious disease outbreaks around the world, but the impact of rapidly changing ..."
28,UPDATE 1-Amazon’s Bezos pledges $10 bln to climate change fight,https://www.cnbc.com/2020/02/17/reuters-america-update-1-amazons-bezos-pledges-10-bln-to-climate-change-fight.html?&qsearchterm=CLIMATE CHANGE,2/17/2020 6:31:00 PM ET,Berkeley Lovelace Jr.,"(Adds protests, activist group quote, changes media label to AMAZON.COM-CLIMATECHANGE/)NEW YORK, Feb 17 (Reuters) - Amazon Chief Executive Officer Jeff Bezos will commit $10 billion ..."
29,Amazon’s Bezos pledges $10 bln to climate change fight,https://www.cnbc.com/2020/02/17/reuters-america-amazons-bezos-pledges-10-bln-to-climate-change-fight.html?&qsearchterm=CLIMATE CHANGE,2/17/2020 4:55:00 PM ET,Berkeley Lovelace Jr.,"NEW YORK, Feb 17 (Reuters) - Amazon Chief Executive Officer Jeff Bezos will commit $10 billion to fund scientists, activists, nonprofits and other groups fighting ..."
30,Jeff Bezos: Anyone who denies reality of climate change is ‘not being reasonable’,https://www.cnbc.com/2020/01/15/jeff-bezos-anyone-who-denies-climate-change-is-not-being-reasonable.html?&qsearchterm=CLIMATE CHANGE,1/15/2020 6:38:08 AM ET,Chloe Taylor,"Denying climate change is dangerous and unreasonable in the year 2020, according to billionaire Amazon founder Jeff Bezos.Speaking at Amazon’s Smbhav summit for small and ..."
31,Amazon’s Jeff Bezos pledges $10 billion to launch Earth Fund for combating climate change,https://www.cnbc.com/2020/02/17/amazons-jeff-bezos-pledges-10-billion-to-launch-earth-fund-for-combating-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/17/2020 3:46:48 PM ET,Thomas Franck,Amazon founder and CEO Jeff Bezos on Monday announced the launch of a new Earth Fund that the e-commerce chief plans to use to combat ...
32,Atlantic hurricane season on pace to be one of the worst in recorded history,https://www.cnbc.com/2020/08/06/atlantic-hurricane-season-on-pace-to-be-one-of-the-worst-in-recorded-history.html?&qsearchterm=CLIMATE CHANGE,8/6/2020 12:16:25 PM ET,Emma Newburger,"The Atlantic hurricane season is on pace to become one of the worst in recorded history, forecasters at the National Oceanic and Atmospheric Administration’s Climate ..."
33,"Coronavirus could weaken climate change action and hit clean energy investment, researchers warn",https://www.cnbc.com/2020/03/13/coronavirus-could-weaken-climate-change-action-hit-clean-energy.html?&qsearchterm=CLIMATE CHANGE,3/13/2020 2:32:17 PM ET,Emma Newburger,"The coronavirus pandemic has stoked concerns of a global economic recession as it spreads across the world, igniting one of the sharpest oil price plummets ..."
34,"Climate change leads the Davos agenda, but it’s not even a top 10 risk for ...",https://www.cnbc.com/2020/01/21/davos-climate-change-and-ceos.html?&qsearchterm=CLIMATE CHANGE,1/21/2020 4:41:58 AM ET,Holly Ellyatt,"“Sustainable business” has become a buzzword in the corporate world, and climate change is a key topic at this year’s gathering of political and business ..."
35,Climate change investing catches on with millennials who believe it’s pressing — and profitable,https://www.cnbc.com/2019/12/31/climate-change-investing-catches-on-with-millennials.html?&qsearchterm=CLIMATE CHANGE,12/31/2019 4:08:57 PM ET,Patti Domm,"Investing for climate change had been a niche on Wall Street, often generating sub-par returns, but in the coming decade it is expected to become ..."
36,COP26 climate change conference postponed until 2021 due to coronavirus,https://www.cnbc.com/2020/04/02/cop26-climate-change-summit-postponed-until-2021-due-to-coronavirus.html?&qsearchterm=CLIMATE CHANGE,4/2/2020 7:22:56 AM ET,Anmar Frangoul,A major UN climate change conference due to take place in November has been postponed until 2021 because of the coronavirus pandemic.The COP26 summit was ...
37,Perseverance is key for my generation to succeed — and create change in the world,https://www.cnbc.com/2020/07/16/perseverance-is-key-for-gen-z-to-succeedand-create-change-in-the-world.html?&qsearchterm=CLIMATE CHANGE,7/16/2020 11:54:53 AM ET,Toyin Fadahunsi,"CNBC’s “College Voices 2020” is a series written by CNBC summer interns from universities across the country about coming of age, launching new careers and ..."
38,Outgoing New York Times CEO on the stock’s 400% run and what happens there if ...,https://www.cnbc.com/2020/08/10/new-york-times-ceo-mark-thompsons-exit-interview.html?&qsearchterm=CLIMATE CHANGE,8/10/2020 11:49:13 AM ET,Alex Sherman,"A View from the Top is a Q&A series exclusively available on CNBC Pro. Alex Sherman will regularly speak with a business leader about decision-making, ..."
39,BlackRock’s Larry Fink: Risks from climate change are bigger than the 2008 financial crisis with ...,https://www.cnbc.com/2020/01/14/larry-fink-risk-from-climate-change-bigger-than-2008-financial-crisis.html?&qsearchterm=CLIMATE CHANGE,1/14/2020 7:22:29 AM ET,Matthew J. Belvedere,BlackRock Chairman and CEO Larry Fink is warning that the financial risks of climate change are bigger than any crisis he’s experienced in his career ...
40,Australia’s APRA to stress test banks against climate change,https://www.cnbc.com/2020/02/24/reuters-america-australias-apra-to-stress-test-banks-against-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/24/2020 1:16:00 AM ET,Matthew J. Belvedere,"SYDNEY, Feb 24 (Reuters) - Australia’s prudential regulator said on Monday it was seeking to estimate the financial impact from a changing climate on the ..."
41,"Climate change is threatening sports stadiums and arenas, and teams like the Yankees and Dolphins ...",https://www.cnbc.com/2020/01/27/yankees-dolphins-fight-back-as-climate-change-threatens-stadiums.html?&qsearchterm=CLIMATE CHANGE,1/27/2020 8:43:34 AM ET,Diana Olick,"Miami’s Hard Rock Stadium will host about 65,000 fans on Super Bowl Sunday. While the biggest battle in football will last just one evening, the ..."
42,Activists respond to BlackRock’s climate change investment strategy: ‘There are questions left unanswered’,https://www.cnbc.com/2020/01/16/activists-respond-to-blackrocks-plan-to-tackle-climate-change.html?&qsearchterm=CLIMATE CHANGE,1/16/2020 1:41:30 PM ET,Emma Newburger,"BlackRock announced this week that it will avoid investments in companies that have a high sustainability-related risk, a move the firm’s CEO Larry Fink says ..."
43,"Trump will be challenged on climate change at Davos, WEF president says",https://www.cnbc.com/2020/01/15/wef-president-trump-will-be-challenged-on-climate-change-at-davos.html?&qsearchterm=CLIMATE CHANGE,1/15/2020 11:10:58 AM ET,David Reid,President Donald Trump will likely be questioned on his climate change beliefs when he visits Switzerland for the World Economic Forum on Tuesday next week.That’s ...
44,Cramer: Wall Street is finally having the reckoning on climate change it needs,https://www.cnbc.com/2020/01/14/jim-cramer-wall-street-is-having-the-climate-change-reckoning-it-needs.html?&qsearchterm=CLIMATE CHANGE,1/14/2020 8:01:02 PM ET,Kevin Stankiewicz,"BlackRock Chairman and CEO Larry Fink’s decision to call out the warnings of climate change in his annual letter has changed Wall Street forever, CNBC’s ..."
45,Bernie Sanders taps Amazon employees to blast the company’s record on climate change,https://www.cnbc.com/2020/01/07/bernie-sanders-climate-change-video-features-amazon-employees.html?&qsearchterm=CLIMATE CHANGE,1/7/2020 10:24:59 AM ET,Annie Palmer,"A new video from Sen. Bernie Sanders takes a swipe at Amazon CEO Jeff Bezos, with the help of two employees who have spoken out ..."
46,"Exxon CEO Darren Woods on climate change, ESG investing, coronavirus and more",https://www.cnbc.com/video/2020/03/06/exxon-ceo-darren-woods-climate-change-esg-investing-coronavirus.html?&qsearchterm=CLIMATE CHANGE,3/6/2020 9:11:06 AM ET,Annie Palmer,"CNBC’s Becky Quick spoke with Exxon Chairman and CEO Darren Woods about ESG investing, climate change, the impact of the coronavirus outbreak and more."
47,FACTBOX-How the next EU budget will tackle climate change,https://www.cnbc.com/2020/02/19/reuters-america-factbox-how-the-next-eu-budget-will-tackle-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/19/2020 7:00:00 PM ET,Annie Palmer,"BRUSSELS, Feb 19 (Reuters) - EU leaders meet in Brussels on Thursday to haggle over the bloc’s next seven-year budget, a hole of up to ..."
48,"‘Urgent’ need for businesses to adapt to growing threat from climate change, McKinsey says",https://www.cnbc.com/2020/01/16/urgent-need-for-businesses-to-adapt-to-growing-threat-from-climate-change-mckinsey-says.html?&qsearchterm=CLIMATE CHANGE,1/16/2020 8:27:15 AM ET,Pippa Stevens,"As the climate crisis intensifies and as the wide-ranging economic impacts are felt up and down supply chains across continents, business leaders and governments cannot ..."
49,Coronavirus halts climate research and raises fears of long-term hit to science budgets,https://www.cnbc.com/2020/04/29/coronavirus-halts-climate-research-raises-fears-of-hit-to-science-budgets.html?&qsearchterm=CLIMATE CHANGE,4/29/2020 2:59:03 PM ET,Emma Newburger,"From delaying Arctic expeditions to canceling climate summits, the coronavirus pandemic is hindering global progress on fighting climate change and raising fears over a long-term ..."
50,Hannon Armstrong CEO: Wall Street needs more climate-change action,https://www.cnbc.com/video/2020/02/28/hannon-armstrong-how-wall-street-can-it-is-serious-about-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/28/2020 8:25:18 PM ET,Emma Newburger,Hannon Armonstrong CEO Jeffrey Eckel explains to CNBC’s Jim Cramer the three steps Wall Street can take to demonstrate it’s serious about climate change.
51,Here’s how the world’s largest money manager is overhauling its strategy because of climate change,https://www.cnbc.com/2020/01/14/blackrock-is-overhauling-its-strategy-to-focus-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,1/14/2020 12:53:17 PM ET,Pippa Stevens,"BlackRock is overhauling its investing strategy to make sustainability the “new standard for investing,” which will include launching new active and passively-managed funds that focus ..."
52,UPDATE 1-G20 agrees final communique with reference to climate change,https://www.cnbc.com/2020/02/23/reuters-america-update-1-g20-agrees-final-communique-with-reference-to-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/23/2020 5:39:00 AM ET,Pippa Stevens,"(Adds details)RIYADH, Feb 23 (Reuters) - Finance officials from the world’s 20 biggest economies (G20) meeting in Riyadh on Sunday reached agreement on the wording ..."
53,"COLUMN-BP slammed for lofty climate change ambition, Rio ignored for small step: Russell",https://www.cnbc.com/2020/02/21/reuters-america-column-bp-slammed-for-lofty-climate-change-ambition-rio-ignored-for-small-step-russell.html?&qsearchterm=CLIMATE CHANGE,2/21/2020 2:30:00 AM ET,Pippa Stevens,"step: Russell@ (The opinions expressed here are those of the author, a columnist for Reuters.)SINGAPORE, Feb 21 (Reuters) - Two major resource companies made two ..."
54,Trump vs Greta: How climate change took over Davos,https://www.cnbc.com/video/2020/01/22/trump-vs-greta-how-climate-change-took-over-davos.html?&qsearchterm=CLIMATE CHANGE,1/22/2020 6:01:01 PM ET,Pippa Stevens,U.S. President Donald Trump and climate activist Greta Thunberg gave two of the highest profile addresses at the World Economic Forum’s annual meeting in Davos ...
55,"Geopolitical cold war with China would be a dangerous mistake, economist Jeffrey Sachs says",https://www.cnbc.com/2020/08/10/jeffrey-sachs-geopolitical-cold-war-with-china-is-a-dangerous-mistake.html?&qsearchterm=CLIMATE CHANGE,8/10/2020 8:40:51 AM ET,Elizabeth Schulze,"American politicians risk making a “dreadful mistake” by escalating tensions with China, economist and bestselling author Jeffrey Sachs told CNBC.Sachs, a Columbia University professor and ..."
56,"Why globalization will survive the coronavirus crisis, according to economist Jeffrey Sachs",https://www.cnbc.com/video/2020/08/10/economist-jeffrey-sachs-globalization-will-survive-coronavirus-crisis.html?&qsearchterm=CLIMATE CHANGE,8/10/2020 8:40:15 AM ET,Elizabeth Schulze,Economist and bestselling author Jeffrey Sachs says a geopolitical cold war with China would be a “dreadful mistake.” He explains how globalization will persist as ...
57,"UK PM JOHNSON AND XI AGREED TO WORK TOGETHER OVER STRENGTHENING ECONOMIC PARTNERSHIP, TACKLING CLIMATE ...",https://www.cnbc.com/2020/02/18/reuters-america-uk-pm-johnson-and-xi-agreed-to-work-together-over-strengthening-economic-partnership-tackling-climate-change.html?&qsearchterm=CLIMATE CHANGE,2/18/2020 9:16:00 AM ET,Elizabeth Schulze,"UK PM JOHNSON AND XI AGREED TO WORK TOGETHER OVER STRENGTHENING ECONOMIC PARTNERSHIP, TACKLING CLIMATE CHANGE"
58,"Climate change is damaging the lifelong health of children across the world, medical officials warn",https://www.cnbc.com/2019/11/13/climate-change-damaging-the-health-of-children-medical-officials-warn.html?&qsearchterm=CLIMATE CHANGE,11/13/2019 7:30:43 PM ET,Emma Newburger,"Climate change is already damaging the health of children, and its impacts will harm the entire generation with serious health problems throughout their lives, according ..."
59,Powell: Climate change operates on longer cycle than a typical economic forecast,https://www.cnbc.com/video/2020/02/11/powell-climate-change-operates-on-longer-cycle-than-a-typical-economic-forecast.html?&qsearchterm=CLIMATE CHANGE,2/11/2020 1:54:30 PM ET,Scott Wapner,Rep. Jesus Garcia (D-Ill.) questions Federal Reserve chairman Jerome Powell about how climate change plays into the Federal Reserve’s economic forecast.
60,Powell: Climate change operates on longer cycle than a typical economic forecast,https://www.cnbc.com/video/2020/02/11/powell-climate-change-operates-on-longer-cycle-than-a-typical-economic-forecast.html?&qsearchterm=CLIMATE CHANGE,2/11/2020 1:54:30 PM ET,Scott Wapner,Rep. Jesus Garcia (D-Ill.) questions Federal Reserve chairman Jerome Powell about how climate change plays into the Federal Reserve’s economic forecast.
61,"Climate change could shave off 3% of the world economy, study finds",https://www.cnbc.com/2019/11/19/climate-change-could-shave-off-3percent-of-the-world-economy-study-finds.html?&qsearchterm=CLIMATE CHANGE,11/19/2019 9:00:07 PM ET,Scott Wapner,"Climate change could shave off 3% of world growth over the next 30 years, according to a study from the Economist Intelligence Unit.Africa, South America ..."
62,‘We’re fighting for our lives’ – US apple farmers endure major crop and profit losses ...,https://www.cnbc.com/2019/11/09/us-apple-farmers-struggle-against-climate-change-floods-and-drought.html?&qsearchterm=CLIMATE CHANGE,11/9/2019 12:00:18 PM ET,Emma Newburger,"STONE RIDGE, N.Y. — Elizabeth Ryan was standing among her ruined Golden Supreme apple trees, recalling how they were snapped and toppled by Hurricane Sandy ..."
63,Bill Gates and Richard Branson agree this is one way billionaires can help counter climate ...,https://www.cnbc.com/2019/12/20/bill-gates-richard-branson-agree-this-can-help-counter-climate-change.html?&qsearchterm=CLIMATE CHANGE,12/19/2019 8:21:37 PM ET,Emma Newburger,"As the self-made billionaires behind two of the world’s most recognized companies, there are a few things entrepreneurs Bill Gates and Richard Branson have in ..."
64,"Most Australian executives say climate change will damage companies, survey finds",https://www.cnbc.com/2020/01/21/australian-executives-say-climate-change-will-hurt-companies-survey.html?&qsearchterm=CLIMATE CHANGE,1/20/2020 7:34:01 PM ET,Emma Newburger,"More than 80% of Australian business executives believe climate change will damage their companies, a paper published on Tuesday showed, the highest percentage recorded out ..."
65,The threat climate change poses to professional sports,https://www.cnbc.com/video/2020/01/27/the-threat-climate-change-poses-to-professional-sports.html?&qsearchterm=CLIMATE CHANGE,1/27/2020 3:09:51 PM ET,Diana Olick,CNBC’s Diana Olick reports the danger climate change poses to professional sports.
66,BoE’s Carney says finance must act faster on climate change,https://www.cnbc.com/2019/12/30/boes-carney-says-finance-must-act-faster-on-climate-change.html?&qsearchterm=CLIMATE CHANGE,12/30/2019 6:34:05 AM ET,Diana Olick,"Financial services have been too slow to cut investment in fossil fuels, a delay that could lead to a sharp increase in global temperatures, Bank ..."
67,"Rising Risks: Climate change is threatening sports stadiums and arenas, and these major players are ...",https://www.cnbc.com/video/2020/01/27/rising-risks-climate-change-threatens-sports-stadiums-squawk-box.html?&qsearchterm=CLIMATE CHANGE,1/27/2020 8:37:19 AM ET,Erica Posse,"As the Super Bowl approaches, America’s sports stadiums and arenas are at growing risk from the effects of climate change. CNBC’s Diana Olick runs the ..."
68,Danish foreign minister on climate: ‘People are demanding change’,https://www.cnbc.com/video/2020/01/24/danish-foreign-minister-on-climate-people-are-demanding-change.html?&qsearchterm=CLIMATE CHANGE,1/24/2020 7:23:14 AM ET,Erica Posse,"Jeppe Kofod, Denmark’s foreign minister, said governments and businesses can work together to fight climate change."
69,Bank of England’s Carney named as Boris Johnson advisor for climate change summit,https://www.cnbc.com/2020/01/17/cop26-bank-of-englands-carney-to-advise-boris-johnson-at-climate-summit.html?&qsearchterm=CLIMATE CHANGE,1/17/2020 7:06:56 AM ET,Anmar Frangoul,"Mark Carney, the outgoing governor of the Bank of England, has been named as the U.K. Prime Minister Boris Johnson’s finance advisor for this year’s ..."
70,Danish foreign minister on climate: ‘People are demanding change’,https://www.cnbc.com/video/2020/01/24/danish-foreign-minister-on-climate-people-are-demanding-change.html?&qsearchterm=CLIMATE CHANGE,1/24/2020 7:23:14 AM ET,Anmar Frangoul,"Jeppe Kofod, Denmark’s foreign minister, said governments and businesses can work together to fight climate change."
71,What hasn’t changed for Black small business owners since the death of George Floyd,https://www.cnbc.com/2020/08/11/what-hasnt-changed-for-black-small-business-owners-since-george-floyd.html?&qsearchterm=CLIMATE CHANGE,8/11/2020 10:34:24 AM ET,Laura Wronski,Black small business owners — and small business owners of color in general — are particularly pessimistic about their enterprises surviving the coronavirus economy. That ...
72,Earth just had its hottest January on record as climate change accelerates,https://www.cnbc.com/2020/02/13/earth-just-had-hottest-january-on-record-as-climate-change-accelerates.html?&qsearchterm=CLIMATE CHANGE,2/13/2020 2:47:34 PM ET,Emma Newburger,"The Earth had its hottest January in recorded history last month, continuing an alarming upward trend as the climate crisis accelerates, according to the National ..."
