,headline,url,date
16,Environmental group labels Trump as ‘Dirtiest of All Time’,/politics/environmental-group-labels-trump-as-dirtiest-of-all-time,A major environmental group that supports presumptive Democratic presidential nominee Joe Biden is launching its first spots as part of a $14 million ad-blitz to target President Trump over his handling of the coronavirus pandemic and his record on combating climate change.
17,"Biden 'not an inspired' candidate, got help from 'media cheerleading,' says writer for liberal magazine The Nation",/politics/biden-not-inspired-got-help-from-media-cheerleading-writer-for-liberal-magazine-the-nation-claims,"Left-leaning magazine ""The Nation"" published an article on Thursday calling 2020 presidential candidate Joe Biden an uninspiring figure and credited media bias with putting him over the top, during his primary fight against Sen. Bernie Sanders, I-Vt. "
18,Alexandria Ocasio-Cortez to serve on Biden campaign climate change panel,/politics/alexandria-ocasio-cortez-to-serve-on-biden-campaign-climate-change-panel,“Green New Deal” proponent Rep. Alexandria Ocasio-Cortez will serve on a climate change panel for former Vice President Joe Biden’s campaign.
19,"Kat Timpf: Celebs, don't preach – why Madonna, other rich elites shouldn't lecture us on consumerism",/opinion/madonna-celebrities-consumerism-letter-kat-timpf,"If any of the super-wealthy people who signed this letter had any real interest in stopping the “pursuit of consumerism,” they would certainly have started with this."
20,Iceland uses coronavirus stimulus money to fight climate change,/science/iceland-coronavirus-stimulus-climate-change-reforestation,"Last week, the Icelandic government rolled out several new environmental policies and proposals addressing climate change as part of the country's second COVID-19 economic stimulus package."
21,"Climate change is influencing where tropical cyclones happen most frequently, study says",/us/climate-change-tropical-cyclone-hurricane-typhoon-tropical-storm-noaa-study-weather-atlantic-pacific-indian-ocean,"While there has not been an increase in the global average number of tropical cyclones over the last four decades, a new study says that climate change has been influencing where exactly those deadly storms rage."
22,Michael Moore says coronavirus is a warning before Earth gets 'revenge' over climate change,/entertainment/michael-moore-coronavirus-warning-earth-revenge-climate-change,Michael Moore called the coronavirus pandemic a “gentle warning” from the planet before it takes its “revenge” on humanity over climate change. 
23,Robert Redford highlights 'pleasant surprises' the coronavirus pandemic is having on climate change,/entertainment/robert-redford-pleasant-surprises-coronavirus-pandemic-climate-change,"Robert Redford and his son, director James Redford, discussed how the coronavirus pandemic has shown the world how it can prepare for what they see as the inevitable fight against climate change. "
24,Former VP Gore endorses former VP Biden for president,/politics/former-vp-gore-endorses-former-vp-biden-for-president,Former Vice President Al Gore – a global leader in the fight to combat climate change – pointed to the environment on Wednesday as he backed former Vice President Joe Biden’s White House bid.
25,"Biden lands major green endorsement, pledges to expand climate change plan",/politics/biden-lands-major-green-endorsement-pledges-to-expand-his-climate-change-plan,"Saying that November’s presidential election “is our last, best chance to address the climate crisis,” a leading environmental advocacy group is endorsing former Vice President Joe Biden for president."
26,"Climate-driven 'megadrought' is emerging in Western US, study says",/science/climate-driven-megadrought-emerging-western-us-study-says,"The American West may be entering into a ""megadrought"" worse than any in the historical record, a new climate study from Columbia University suggested."
27,Heartland Institute accuses 'climate alarmists' of exploiting COVID-19 pandemic to advance agenda,/politics/heartland-report-climate-alarmists-coronavirus,"The conservative Heartland Institute released a report on Tuesday in which it criticized leading politicians, activists, and media outlets of using the coronavirus to push their environmental agenda."
28,"Ellen Page blasts Donald Trump, Justin Trudeau for 'environmental racism' in new documentary",/entertainment/ellen-page-donald-trump-justin-trudeau-environmental-racism,Ellen Page accused President Donald Trump and Canadian Prime Minister Justin Trudeau of “environmental racism” for their respective approaches to climate change. 
29,Trump expected to ease Obama-era vehicle mileage standards,/politics/trump-obama-era-vehicle-mileage-standards,"The Trump administration is expected this week to ease Obama-era regulations on fuel emission standards, capping off more than two years of legal battles between the president and states that opposed the move."
30,Justin Haskins: Biden's radical climate plan would destroy US economy,/opinion/justin-haskins-bidens-radical-climate-plan-destroy-us-economy,"Joe Biden’s policies are unquestionably progressive, and far from anything resembling a moderate approach to governance.  "
31,Tropical forests losing their ability to absorb carbon: study,/science/tropical-forests-losing-ability-absorb-carbon,"A new study is reporting that the world's tropical forests are losing their capacity to absorb carbon dioxide (C02), raising alarms about the prospect of accelerating increasing climate breakdown."
32,AOC reads entire Green New Deal on House floor to clear up 'misinformation',/politics/aoc-reads-entire-green-new-deal-on-house-floor-to-clear-up-misinformation,"Rep. Alexandria Ocasio-Cortez read her entire 14-page signature Green New Deal on the House floor because Republicans don't seem to understand it based on their ""wild claims,"" she said."
33,"Heritage Foundation researcher: Green New Deal 'would devastate the economy,' hit working families hardest",/media/green-new-deal-cost-households-joel-griffith,"Democrats' proposed Green New Deal (GND) could end up costing households much more than they bargained for, Heritage Foundation Research Fellow Joel Griffith said Friday. "
34,Green New Deal would cost swing-state households around $75G in first year: study,/politics/study-green-new-deal-trillions-households-swing-states,"A new study claims that progressives' Green New Deal (GND) would impose around $75,000 in average annual costs for households in key battleground states -- raising questions as to how climate politics will impact voter sentiment going into the 2020 elections."
35,Oregon walkout redux: State GOP leaves to prevent climate bill from advancing,/politics/oregon-walkout-redux-state-gop-leaves-to-prevent-climate-bill-from-advancing,"Republican Senators in Oregon walked out of the State Capitol on Monday to prevent a vote on a bill aimed at stemming climate change, a similar action taken by GOP lawmakers last year that was followed by threats of having the state police forcibly returning them."
36,'Berkeley of the East' seeks to ban fossil fuels as part of sweeping climate plan,/us/liberal-maryland-enclave-seeks-to-ban-fossil-fuels-as-part-of-sweeping-climate-plan,"A small Maryland enclave known as the “Berkeley of the East” has devised a bold climate plan that would ban gas stoves, leaf blowers and water heaters, according to a report."
37,"Greta Thunberg's mom describes teen activist's struggles with autism, eating disorder in new book",/media/greta-thunbergs-mom-describes-teen-activists-struggles-with-autism-eating-disorder-in-new-book,"In a new book about Greta Thunberg, the Swedish climate activist’s family describes the teen's struggles as a child, including selective mutism, an eating disorder and an autism diagnosis."
38,"À la Hillary Clinton, Bloomberg brags about closing coal-fired power plants, likely eliminating jobs",/media/democratic-debate-mike-bloomberg-coal,Mike Bloomberg appeared to take a page out of Hillary Clinton's playbook on Wednesday night during the ninth Democratic presidential debate when he bragged about his role in shutting down hundreds of American coal-fired power plants.
39,Bloomberg’s ‘mercenaries’: Billionaire Dem funding network of climate lawyers inside state AG offices,/politics/bloomberg-network-climate-lawyers-ag,A program funded by 2020 presidential candidate Michael Bloomberg is paying the salaries of lawyers who are farmed out to liberal state attorney general offices to pursue climate-based litigation -- a compact critics say amounts to Bloomberg buying state law enforcement employees to advance his preferred political agenda.
40,Jane Sanders on Bernie's 2020 bid: 'I think that he will win' Dem nomination,/media/jane-sanders-bernie-2020-presidential-race-nomination,"All 2020 presidential candidate Vermont Sen. Bernie Sanders, I-Vt., needs to clinch the Democratic nomination is a ""fair shot,"" Sanders' wife Jane said Saturday."
41,2020 Democrats push for climate change reform,https://video.foxnews.com/v/6132831632001/,The U.S. leads the world in reducing C02 emissions; founder and executive director of Turning Point USA Charlie Kirk weighs in.
42,Russian pranksters say they fooled Bernie Sanders by posing as Greta Thunberg,/politics/bernie-sanders-russian-pranksters-greta-thunberg,A pair of Russian pranksters who have targeted several high-profile American politicians claim they called Democratic presidential candidate Bernie Sanders late last year posing as teenage climate change activist Greta Thunberg with an offer to support his campaign.
43,Dan Crenshaw calls out Bernie and AOC's Green New Deal: It's a 'third-grade science project',/media/dan-crenshaws-call-out-of-bernie-and-aocs-green-new-deal,"Democratic Socialists' Green New Deal is not an actual proposal, Texas Republican Rep. Dan Crenshaw said Friday."
44,"House GOP's environmental proposals focus on carbon capture, sequestration and tree-planting",/politics/house-gops-environmental-proposals-focus-on-carbon-capture-sequestration,"House Republicans on Wednesday unveiled legislation focused on carbon capture and sequestration, which includes the goal of planting a trillion trees, to counter a recently unveiled plan by Democrats. "
45,Jay Faison: Clean-energy supporters should support nuclear power,/opinion/jay-faison-clean-energy-supporters-should-support-nuclear-power,America needs more nuclear power to reach the goal of lowering carbon dioxide emissions to respond to climate change.
46,Al Gore compares climate crisis to 9/11 terrorist attacks,https://video.foxnews.com/v/6126189252001/,Reaction from 9/11 first responder Dr. Oscar Odom.
47,"Climate change or poor policy? As Australia’s wildfires see some relief, blame game ascends",/world/australia-wildfire-climate-change-poor-policy-blame-game,"The sky finally cracked open atop much of the fire grounds in NSW, Australia this week – the welcome deluge slashing the number of burning fires to below 100 for the first time in more than a month. But the challenge is far from over as the finger-pointing game ignites."
48,Bloomberg vows to shut down all US coal plants,https://video.foxnews.com/v/6121732871001/,Democratic presidential candidate Mike Bloomberg is calling for a reduction in carbon emissions to battle climate change.
49,Colorado climate change protesters arrested for demonstration at State Capitol,/us/colorado-climate-change-protesters-arrested,At least 38 people were arrested and forced out of the Colorado State Capitol for urging climate change action before and during the governor's State of the State address on Thursday.
50,Warren's climate change plan: No new homes or buildings unless they're carbon-neutral,/media/elizabeth-warren-buildings-homes-climate-change-carbon-footprint,"Sen. Elizabeth Warren, D-Mass., proposed radically restricting construction in the United States on Wednesday, telling MSNBC that she would require any new houses and buildings have ""zero carbon footprint."""
51,"JetBlue announces plans to go carbon-neutral, power some flights with 'sustainable aviation fuel'",/travel/jetblue-announces-carbon-neutral-plans-sustainable-aviation-fuel,"“We must act to limit this critical industry’s contributions to climate change,” said JetBlue CEO Robin Hayes."
52,Technicolor coral once covered stretches of underwater reefs in the Florida Keys and beyond,https://video.foxnews.com/v/6120360460001/,Scientists in Florida Keys are now spending 100 million to stop these reef deaths.
53,Top 5 most outrageous 2020 doomsday predictions that didn't pan out,/us/top-5-most-outrageous-2020-doomsday-predictions,Here are the five worst predictions that serious people made about 2020 that failed to pan out.
54,Liberty Vittert: End climate change zealotry – rancor prevents progress on the real issues,/opinion/liberty-vittert-end-climate-change-zealotry-rancor-prevents-progress-on-the-real-issues,"Two statistics highlight the crux of the issue with environmental concerns, pollution and climate change as a whole.  "
55,"Daniel Turner: If climate change is an existential threat, as Democrats claim, then THIS is our only option",/opinion/daniel-turner-if-climate-change-an-existential-threat-as-democrats-claim-then-here-is-our-only-option,"This crisis threatens our very existence, the life of mankind, according to Democratic presidential candidates.  "
56,Biden says 'yes' when asked about sacrificing blue-collar jobs for clean energy,/politics/biden-jobs-energy-climate,Former Vice Preisdent Joe Biden made clear at Thursday night’s Democratic presidential primary debate that he’d sacrifice economic growth due to a boom in oil and natural gas production and potentially risk displacing hundreds of thousands of blue collar workers in order to combat climate change.
57,Dem Senate candidate's ad depicts apocalyptic climate future with 127 degree temperatures,/politics/romanoff-climate-ad-colorado,"A new campaign ad from Colorado Democrat Andrew Romanoff shows a little girl complaining about climate change in a ""not so distant future"" where her family has to block out the sun and hide from 127 degree fahrenheit temperatures."
58,"Climate activists seen in video trying to block freight train hauling coal, tweet claims",/us/new-hampshire-climate-activists-seen-in-video-trying-to-block-freight-train-hauling-coal-tweet-claims,An environmental reporter in Massachusetts posted a video on Twitter late Monday that she said showed a freight train hauling coal being met with a group of climate change activists on a dark track.
59,Interior Sec. Bernhardt: USMCA will boost economy and conservation efforts — here's how,/opinion/david-bernhardt-usmca-boon-to-global-conservation,The sheer scale of wildlife trafficking demonstrates why the obligations set down in the USMCA are so vital to eliminating that trafficking.
60,"Republicans boost Trump's judicial 'farm team' after AG elections, set sights on Bloomberg",/politics/republican-attorney-generals-farm-team-bloomberg-trump,"Republicans have successfully boosted President Trump's ""farm team"" for the federal judiciary after going undefeated in attorney general (AG) races last month, and are now setting their sights on 2020 presidential hopeful Michael Bloomberg."
61,Bloomberg calls for closing all coal-fired power plants to combat climate change,/politics/bloomberg-calls-for-closing-all-coal-and-gas-fired-power-plants-to-combat-climate-change,Democratic presidential candidate Mike Bloomberg is calling for a 50 percent reduction in carbon emissions over the next 10 years to battle climate change.
62,AOC-allied climate group announces 'insurgent' House primary challenges against incumbent Dems,/politics/sunrise-movement-insurgent-primaries,"The Democratic Party can expect to face even more progressive pushback in the 2020 primaries as a prominent climate group on Thursday advanced ""insurgent"" candidates in order to garner future congressional support for the Green New Deal."
63,"Rep. Cathy McMorris Rodgers, Benji Backer: How to depolarize the climate change debate",/opinion/cathy-mcmorris-rodgers-benji-backer-climate-change,"Climate change has become a polarizing, partisan topic. It shouldn’t be. "
64,Thousands of animals are killed each year by red tide,https://video.foxnews.com/v/6108727255001/,The treatment is used as cocaine overdose therapy and has already cured almost 30 turtles
65,Jim Breslo: California Democrats pursue wrong policies to reduce fires – They should do THIS,/opinion/jim-breslo-causing-california-wildfires,"Climate change is a global problem. California can reduce emissions all it wants, but it will not change the fact that countries such as China and India emit such gasses in greater and greater amounts."
66,Pelosi flouts Trump at climate conference on Paris agreement: 'We are still in',/politics/pelosi-trump-paris-agreement-were-in,"House Speaker Nancy Pelosi, D-Calif., appeared to try and undermine President Trump on Monday when she said the U.S. was ""still in"" during an international climate conference focused on the Paris Climate Agreement, which Trump vowed to exit."
67,Elizabeth Warren releases climate change ad promising to create one million jobs,/politics/elizabeth-warren-climate-ad,"Sen. Elizabeth Warren, D-Mass., has released a new ad touting herself as a fighter on climate change, fewer than three months before the first primary in the 2020 cycle."
68,Tomi Lahren rips climate protesters' latest 'tantrum' during Harvard-Yale game: ‘Sick and tired of the crybabies’,/media/tomi-lahren-climate-protesters-harvard-yale-football,"Fox Nation host Tomi Lahren had strong words for the climate protesters who swarmed a football field during halftime of Saturday's Harvard-Yale game, delaying the start of the second half by nearly an hour."
69,Daniel Turner: Harvard-Yale game climate protests – Here's what was really accomplished,/opinion/harvard-yale-game-climate-protests-daniel-turner,The virtue-signaling disruption at the Harvard-Yale football game on Saturday will accomplish nothing in the long run...
70,Greta Thunberg mural in San Francisco stirs controversy over use of spray paints,/us/greta-thunberg-mural-san-francisco-controversy-spray-paints,A massive mural of the face of teen climate activist Greta Thunberg in downtown San Francisco makes its debut Tuesday — even as it stirs controversy.
71,Tucker's challenge to 2020 Democrats: Plant a tree for every mile of private jet travel,/media/tucker-carlson-tree-challenge-2020-democrats-private-jets-climate,"Tucker Carlson has a challenge for 2020 Democratic candidates pushing new 'Green' plans: ""plant a tree for every mile that you fly private."""
72,Huffington Post calls to cancel Thanksgiving over global warming,https://video.foxnews.com/v/6101857111001/,Reaction from comedian and Loftus Party founder Michael Loftus.
73,Huffington Post suggests skipping Thanksgiving for climate change,https://video.foxnews.com/v/6101737184001/,Climate activists target Thanksgiving; author and columnist Mark Steyn reacts.
74,'Tucker Carlson Tonight' challenges 2020 Democrats to plant a tree for every mile they fly on a private jet,https://video.foxnews.com/v/6101737930001/,WeatherBell.com chief meteorologist Joe Bastardi reacts to Tucker's 2020 tree challenge.
75,"World’s thickest mountain glacier is melting, new NASA images reveal",/science/worlds-thickest-mountain-glacier-melting-nasa,The slow decline of Alaska's Taku Glacier has become apparent in newly released photographs shared by NASA's Earth Observatory.
76,Donald Trump reacts to Jane Fonda's arrests: 'Nothing changes',/entertainment/donald-trump-reacts-jane-fonda-arrested,President Donald Trump reacted to Jane Fonda's latest string of arrests while he spoke at a rally Wednesday in Louisiana.
77,Jane Fonda dismisses critics of her climate protests: ‘Those people don’t matter’,/entertainment/jane-fonda-dismisses-critics-of-her-climate-protests-those-people-dont-matter,"Actress Jane Fonda reportedly spent the night in jail following her arrest Friday at a climate-change protest in Washington, D.C."
78,'The View' gives Jane Fonda a care package for 'next time' she goes to jail,/entertainment/view-jane-fonda-climate-care-package,"""The View"" co-hosts touted actress Jane Fonda's climate activism on Tuesday and gifted her a care package for the next time she went to jail for civil disobedience."
79,Abby Huntsman challenges Jane Fonda on 'fantastic' Green New Deal: 'Never going to happen',/entertainment/abby-huntsman-jane-fonda-green-new-deal,"""The View"" co-host Abby Huntsman attempted to challenge actress and climate activist Jane Fonda when the latter praised the ambitious ""Green New Deal"" as ""fantastic."""
80,"Alito pens fiery dissent after court declines to hear dispute between climate professor, National Review",/politics/alito-climate-science-professor-national-review,Supreme Court Justice Samuel Alito issued a fiery defense of free speech Monday morning as the high court announced it would not hear an appeal from the conservative magazine National Review in a defamation case against it by liberal climate science professor Michael Mann. 
81,"Harvard-Yale climate change protest at football game sees 42 charged, officials say",/sports/harvard-yale-climate-change-protest-charges,A climate change protest at halftime of Harvard and Yale’s football game Saturday led to dozens of charges after the demonstration delayed the game.
82,Harvard student blasts climate change protesters for delaying Harvard-Yale football game with 'empty activism',/media/harvard-yale-climate-change-protest-game,"More than 150 climate change protesters stormed the field at the Harvard-Yale football game Saturday, causing a 40-minute delay."
83,"Climate activists turn up the heat on elected Dems, criticize inaction",/politics/climate-activists-turn-up-heat-elected-democrats-criticize-inaction,"Progressive environmental activists continued ratcheting up pressure on elected Democrats in November, demanding they embrace more aggressive policies to curb emissions and address the effects of climate change."
84,Climate protesters delay Harvard-Yale football game after staging sit-in on field,/sports/climate-protesters-harvard-yale-football-halftime,Saturday's Harvard-Yale football game came to a halt after climate protesters staged a sit-in during halftime and refused to leave.
85,Coldplay puts tours on hold until they can offer concerts with solar power,https://video.foxnews.com/v/6107469941001/,Coldplay demands solar power and no single-use plastics; comedian Michael Loftus reacts.
86,Group to air Thanksgiving-themed ad knocking Green New Deal before Dem debate,/media/cei-ad-thanksgiving-green-new-deal,A right-leaning group is continuing its months-long attack on the Green New Deal by releasing an ad warning about the climate policy proposal as Democrats prepare to take the debate stage on Wednesday night.
87,Greta Thunberg to set sail back to Europe sooner than expected,/politics/greta-thunberg-to-set-sail-back-to-europe-wednesday-sooner-than-expected,Climate activist Greta Thunberg plans to set sail for Spain Wednesday after the venue for United Nations-sponsored climate talks were moved from Chile due to political unrest.
88,"Arnold Schwarzenegger, actor-turned-climate activist, reportedly drives 'tank' to run errands",/entertainment/arnold-schwarzenegger-drives-tank-climate-change,"Arnold Schwarzenegger has been outspoken about climate change activism in recent years but can reportedly be seen driving a ""tank"" while running errands. "
89,Varney calls out California gov Newsom for taking beleaguered utility's money while blasting 'corporate greed',/media/varney-newsom-money-pge-corporate-greed-comment,Fox Business Network host Stuart Varney had strong words for Democrat California Gov. Gavin Newsom after he was shown to have financial ties to the utility company that he blames for the recent outbreak of wildfires in the state.
90,Bozell & Graham: Jane Fonda's new socialist stunts – Why do liberals think getting arrested is an achievement?,/opinion/jane-fonda-socialist-arrested-bozell-graham,One of the strangest things about liberals is how they think getting arrested is some kind of achievement.
91,Leonardo DiCaprio praises Greta Thunberg as ‘a leader of our time’,/entertainment/leonardo-dicaprio-greta-thunberg-leader-of-our-time,Oscar-winning actor Leonardo DiCaprio had high praise for teenage climate change activist Greta Thunberg after the two met in California this week.
92,Rex Tillerson testifies Exxon researched climate change's effects on bottom line,/us/rex-tillerson-testifies-exxon-researched-climate-change-effects-on-bottom-line,"Former Secretary of State Rex Tillerson testified in Manhattan Supreme Court Wednesday that the company he formerly led as CEO, Exxon Mobil, did not attempt to downplay the effects of climate change regulation to investors. "
93,"Daniel Turner: Hey, AOC, California wildfires look like government dereliction of duty not climate change",/opinion/aoc-california-wildfires-government-climate-change-daniel-turner,Once again California is burning. We have been here before. Why are we back?
94,Wildfire threat sparks seed-collection projects to reforest charred hillsides,/science/wildfires-seeds-pine-cones-collected-reforest-hillsides,"With warmer temperatures, an increase in the frequency of drought and the severity of wildfires on the rise, many scientists say the necessity of seed collection and reforestation efforts has become more urgent."
95,Trump administration sues California over cap and trade agreement with Quebec,/politics/trump-administration-california-cap-and-trade-agreement-with-quebec,"The Trump administration on Wednesday filed a federal lawsuit against California, alleging that the state exceeded its constitutional authority by joining with the Canadian province of Quebec in a program to cut fossil fuel emissions."
96,"Trump, in battleground Pennsylvania, cheers energy industry deregulation, economic growth",/politics/trump-pittsburgh-pennsylvania-energy-industry-deregulation-economic-growth,"Hours after announcing a “permanent cease-fire” between Turkey and the Kurds in Syria, President Trump focused on domestic matters during a speech Wednesday in Pittsburgh where he touted his administration’s moves to deregulate the oil and gas industries in the key battleground state of Pennsylvania."
97,Group releasing Halloween video series on 'debunked' climate scares,/media/heartland-halloween-video-climate-scares,"Are climate alarmists chasing ghosts with their apocalyptic predictions? In the lead up to Halloween, the right-leaning Heartland Institute is releasing a series of video in order to challenge what it says are the ""biggest phony climate scares meant to spook kids and adults, alike."""
98,Seattle passes new heating oil tax aimed at combatting climate change,https://video.foxnews.com/v/6096502138001/,"The city's goal is to make oil so expensive that residents will switch over to electric heat pumps, but critics call Seattle's climate change initiative a 'sin tax'; Dan Springer reports."
99,Climate change in 'history': New England artist uses signs to sound alarms,/science/climate-change-historic-markers-new-england,An artist in New England is using climate change as his inspiration.
100,Jane Fonda arrested again at another climate change protest,https://video.foxnews.com/v/6096261300001/,ClimateDepot.com executive editor Marc Morano on his confrontation with Jane Fonda.
101,Jane Fonda claimed she's been a climate scientist for 'decades' shortly before arrest,/entertainment/jane-fonda-climate-scientist-decades-arrest,"Actress Jane Fonda claimed she’s been a climate scientist for ""decades"" prior to being arrested at a demonstration in Washington D.C. on Friday."
102,Group using Dem debate to debut ad campaign about 'skyrocketing' costs of 'Green New Deal',/media/cei-dem-debate-green-new-deal,"A new ad highlighting the ""Green New Deal's"" (GND) financial toll will debut as Democrats take the debate stage on Tuesday night."
103,Jane Fonda arrested during climate protest,https://video.foxnews.com/v/6094363798001/,"Michael Loftus weighs in on actress Jane Fonda's arrest during a climate change protest in Washington, D.C."
104,"Aggressive climate change protests hit major cities in Europe, Australia, more than 300 arrested",/world/climate-change-activists-europe-australia-arrested,"A group of extreme climate change activists around the globe have brought parts of London, France, Germany and Australia to a standstill as they aggressively push politicians to cut carbon emissions. In London alone, the actions of the Extinction Rebellion led to 319 arrests and prompted British Prime Minister Boris Johnson to call the group ""uncooperative crusties."""
105,"Outburst at Ocasio-Cortez town hall was political group's doing, it admits",/media/larouche-eat-babies-aoc-town-hall,"The Lyndon LaRouche PAC, a far-right group that supports President Trump, admitted Friday that it was behind a bizarre demonstration in which a woman told Rep. Alexandria Ocasio-Cortez, D-N.Y., she should push for people to ""eat"" babies in order to save the planet from climate change."
106,Iowa teacher on leave after threatening Facebook post about climate activist Greta Thunberg,/us/iowa-teacher-on-leave-after-threatening-facebook-post-about-climate-activist-greta-thunberg,An Iowa science teacher has been placed on leave after posting what appeared to be a threatening comment on social media aimed at young climate change activist Greta Thunberg before her planned visit to the state.
107,Leonardo DiCaprio slams climate change deniers for living in an 'alternate reality',/entertainment/leonardo-dicaprio-climate-change-deniers-alternate-reality,Actor Leonardo DiCaprio took harsh shots at climate change deniers while supporting the young people who staged a worldwide climate protest in September.
108,Abby Huntsman clashes with Joy Behar over climate 'guilt-tripping': Not fostering a 'rational conversation',/entertainment/huntsman-clashes-behar-climate-change,"""The View"" co-host Abby Huntsman took her colleague Joy Behar to task after the latter tried guilt-tripping people into supporting action on climate change."
109,GOP Sen. Inhofe giving out 'Climate Hypocrite Awards' for Global Climate Week,/politics/gop-sen-inhofe-giving-out-climate-hypocrite-awards-for-global-climate-week,"As activists around the world protest for Global Climate Change Week, all timed with the U.N. Climate Action Summit, one GOP senator announced Monday he is giving out ""Climate Hypocrite Awards."""
110,Tucker Carlson: Pols who use kids to gain power may be a greater 'existential threat' than climate change?,/opinion/tucker-carlson-kids-threat-climate-change-politicians,"Climate activism has become a performative stunt, mixed with hypocrisy, on the left."
111,Is 'the Greta effect' scaring kids about climate change?,https://video.foxnews.com/v/6088952426001/,A 16-year-old climate activist spoke in front of the U.N.; reaction from child and adolescent family therapist Darby Fox.
112,Are we scaring our kids about climate change?,https://video.foxnews.com/v/6088900001001/,Reaction from Fox News contributors Doug Schoen and Marc Thiessen.
113,Are climate change alarmists using children as props?,https://video.foxnews.com/v/6088897239001/,Reaction from former climate change activist An0maly and child therapist Dr. Karen Ruskin.
114,Ingraham: The climatology cult,https://video.foxnews.com/v/6088889719001/,Climate change alarmists are scaring our children.
